,metric,train/val,run,epoch,value
0,loss,train,1,1,0.6542556881904602
1,loss,train,1,2,0.42582249641418457
2,binary_accuracy,train,1,1,0.6291309595108032
3,binary_accuracy,train,1,2,0.8255813717842102
4,auc,train,1,1,0.7049753069877625
5,auc,train,1,2,0.8889630436897278
6,loss,val,1,1,0.5422753095626831
7,loss,val,1,2,0.3899677097797394
8,binary_accuracy,val,1,1,0.764976978302002
9,binary_accuracy,val,1,2,0.8387096524238586
10,auc,val,1,1,0.8568925261497498
11,auc,val,1,2,0.922939658164978
12,loss,train,2,1,0.5619704723358154
13,loss,train,2,2,0.371866911649704
14,binary_accuracy,train,2,1,0.7166462540626526
15,binary_accuracy,train,2,2,0.8402692675590515
16,auc,train,2,1,0.7933314442634583
17,auc,train,2,2,0.9169355630874634
18,loss,val,2,1,0.4228450655937195
19,loss,val,2,2,0.3791329562664032
20,binary_accuracy,val,2,1,0.7903226017951965
21,binary_accuracy,val,2,2,0.8502303957939148
22,auc,val,2,1,0.8971112966537476
23,auc,val,2,2,0.9231627583503723
