,metric,train/val,epoch,mean,median,min,max,std
0,auc,train,1,0.7213241245065417,0.72032031416893,0.5650312304496765,0.8172571659088135,0.05705531241798633
1,auc,train,2,0.8802449788366046,0.8896366357803345,0.7809445858001709,0.9319672584533691,0.03252863425510112
2,auc,train,3,0.9270014178996183,0.9296103417873383,0.8724525570869446,0.9566093683242798,0.0181136951654258
3,auc,train,4,0.9510251502601468,0.953118771314621,0.9090981483459473,0.9767882227897644,0.013480275755818623
4,auc,val,1,0.8749951081616538,0.8839261531829834,0.7610122561454773,0.9317900538444519,0.03463961184794683
5,auc,val,2,0.9199133649164316,0.9239345192909241,0.8484057188034058,0.9484373331069946,0.02005161209389543
6,auc,val,3,0.9387003499634412,0.9410765171051025,0.8907818794250488,0.964989960193634,0.015477462356145248
7,auc,val,4,0.9519489042612971,0.9520204961299896,0.917478621006012,0.9753341674804688,0.011227189657646401
8,binary_accuracy,train,1,0.656695297177957,0.6542455852031708,0.5546731948852539,0.7458766102790833,0.04689449332720569
9,binary_accuracy,train,2,0.8086033433067555,0.816737949848175,0.7067806720733643,0.8588882088661194,0.0332363434492219
10,binary_accuracy,train,3,0.8577973654075545,0.8598045408725739,0.795968234539032,0.9010384678840637,0.02184052855871522
11,binary_accuracy,train,4,0.8876553676566299,0.889431893825531,0.833231508731842,0.927916944026947,0.019616337147536772
12,binary_accuracy,val,1,0.7755102052980539,0.7878440618515015,0.607798159122467,0.8807339668273926,0.05958960418301074
13,binary_accuracy,val,2,0.8372027703693935,0.8417431116104126,0.75,0.8990825414657593,0.03552276727286725
14,binary_accuracy,val,3,0.8578449761380955,0.8646789193153381,0.6857798099517822,0.9151375889778137,0.03568270855758868
15,binary_accuracy,val,4,0.8787680213548699,0.8807339668273926,0.7935779690742493,0.9311926364898682,0.02650920316400298
16,loss,train,1,0.631086635954526,0.6337644159793854,0.5412405133247375,0.7228585481643677,0.04544011731203967
17,loss,train,2,0.44101716760469944,0.4274964779615402,0.33883416652679443,0.5800075531005859,0.053075967006531215
18,loss,train,3,0.3449928529408513,0.34265322983264923,0.2678852677345276,0.45362454652786255,0.04095263961614986
19,loss,train,4,0.28144289203444306,0.27861134707927704,0.19563187658786774,0.38436558842658997,0.038957596653730046
20,loss,val,1,0.5071292288449346,0.501205787062645,0.3949480950832367,0.7208068370819092,0.06746315828292729
21,loss,val,2,0.39037918284231304,0.3786027282476425,0.2880217730998993,0.5268248319625854,0.05547922292810732
22,loss,val,3,0.3514191809357429,0.3398101180791855,0.2639012932777405,0.6333287954330444,0.06261711182675722
23,loss,val,4,0.3098000891658725,0.30621136724948883,0.20475827157497406,0.4393131732940674,0.04881139145540918
