,metric,train/val,run,epoch,value
0,binary_accuracy,train,1,1,0.66160506
1,auc,train,1,1,0.76230574
2,loss,train,1,1,0.67665285
3,binary_accuracy,val,1,1,0.50945765
4,auc,val,1,1,0.68745196
5,loss,val,1,1,0.6902411
6,binary_accuracy,train,1,2,0.7175991
7,auc,train,1,2,0.7994994
8,loss,train,1,2,0.58824646
9,binary_accuracy,val,1,2,0.5826953
10,auc,val,1,2,0.7270913
11,loss,val,1,2,0.6778563
12,binary_accuracy,train,1,3,0.77343357
13,auc,train,1,3,0.83277124
14,loss,train,1,3,0.5229797
15,binary_accuracy,val,1,3,0.8023576
16,auc,val,1,3,0.83879644
17,loss,val,1,3,0.54626584
18,binary_accuracy,train,1,4,0.7961705
19,auc,train,1,4,0.86715937
20,loss,train,1,4,0.4744642
21,binary_accuracy,val,1,4,0.8184738
22,auc,val,1,4,0.8491998
23,loss,val,1,4,0.49028394
24,binary_accuracy,train,1,5,0.83751804
25,auc,train,1,5,0.897022
26,loss,train,1,5,0.42208654
27,binary_accuracy,val,1,5,0.8081116
28,auc,val,1,5,0.87788093
29,loss,val,1,5,0.46806324
30,binary_accuracy,train,2,1,0.67993116
31,auc,train,2,1,0.752567
32,loss,train,2,1,0.59871167
33,binary_accuracy,val,2,1,0.5223467
34,auc,val,2,1,0.7385723
35,loss,val,2,1,0.6886268
36,binary_accuracy,train,2,2,0.73029745
37,auc,train,2,2,0.80396235
38,loss,train,2,2,0.56987387
39,binary_accuracy,val,2,2,0.7680653
40,auc,val,2,2,0.8433525
41,loss,val,2,2,0.6143191
42,binary_accuracy,train,2,3,0.8121379
43,auc,train,2,3,0.8618987
44,loss,train,2,3,0.48592228
45,binary_accuracy,val,2,3,0.7811391
46,auc,val,2,3,0.8833547
47,loss,val,2,3,0.50632805
48,binary_accuracy,train,2,4,0.82527477
49,auc,train,2,4,0.90682274
50,loss,train,2,4,0.40083206
51,binary_accuracy,val,2,4,0.8387158
52,auc,val,2,4,0.8984314
53,loss,val,2,4,0.4412307
54,binary_accuracy,train,2,5,0.8504911
55,auc,train,2,5,0.9171389
56,loss,train,2,5,0.37385648
57,binary_accuracy,val,2,5,0.8472398
58,auc,val,2,5,0.90614593
59,loss,val,2,5,0.38925526
