,metric,train/val,run,epoch,value
0,loss,train,1,1,0.6346964836120605
1,loss,train,1,2,0.45854395627975464
2,loss,train,1,3,0.3391433358192444
3,loss,train,1,4,0.2738451063632965
4,binary_accuracy,train,1,1,0.665847659111023
5,binary_accuracy,train,1,2,0.8028255701065063
6,binary_accuracy,train,1,3,0.8562653660774231
7,binary_accuracy,train,1,4,0.89987713098526
8,auc,train,1,1,0.7185893654823303
9,auc,train,1,2,0.87325119972229
10,auc,train,1,3,0.9302334189414978
11,auc,train,1,4,0.9560526609420776
12,loss,val,1,1,0.48038044571876526
13,loss,val,1,2,0.3807186484336853
14,loss,val,1,3,0.33253899216651917
15,loss,val,1,4,0.3404466211795807
16,binary_accuracy,val,1,1,0.7736720442771912
17,binary_accuracy,val,1,2,0.8360277414321899
18,binary_accuracy,val,1,3,0.8637413382530212
19,binary_accuracy,val,1,4,0.8683602809906006
20,auc,val,1,1,0.8596777319908142
21,auc,val,1,2,0.9178510308265686
22,auc,val,1,3,0.9354033470153809
23,auc,val,1,4,0.9377613663673401
24,loss,train,2,1,0.6985735297203064
25,loss,train,2,2,0.41167330741882324
26,loss,train,2,3,0.342257559299469
27,loss,train,2,4,0.26625964045524597
28,binary_accuracy,train,2,1,0.6136363744735718
29,binary_accuracy,train,2,2,0.8243243098258972
30,binary_accuracy,train,2,3,0.8587223291397095
31,binary_accuracy,train,2,4,0.8955773711204529
32,auc,train,2,1,0.6646617650985718
33,auc,train,2,2,0.8979533314704895
34,auc,train,2,3,0.929198682308197
35,auc,train,2,4,0.9572120308876038
36,loss,val,2,1,0.49334999918937683
37,loss,val,2,2,0.37021616101264954
38,loss,val,2,3,0.30083873867988586
39,loss,val,2,4,0.27464908361434937
40,binary_accuracy,val,2,1,0.8013857007026672
41,binary_accuracy,val,2,2,0.8475750684738159
42,binary_accuracy,val,2,3,0.8845265507698059
43,binary_accuracy,val,2,4,0.9053117632865906
44,auc,val,2,1,0.8719696998596191
45,auc,val,2,2,0.9238690137863159
46,auc,val,2,3,0.9482074975967407
47,auc,val,2,4,0.9557831883430481
48,loss,train,3,1,0.6505848169326782
49,loss,train,3,2,0.45512694120407104
50,loss,train,3,3,0.3500269949436188
51,loss,train,3,4,0.32549363374710083
52,binary_accuracy,train,3,1,0.627764105796814
53,binary_accuracy,train,3,2,0.7862407565116882
54,binary_accuracy,train,3,3,0.859950840473175
55,binary_accuracy,train,3,4,0.872235894203186
56,auc,train,3,1,0.6887148022651672
57,auc,train,3,2,0.8741253018379211
58,auc,train,3,3,0.929754912853241
59,auc,train,3,4,0.9354186654090881
60,loss,val,3,1,0.5111287832260132
61,loss,val,3,2,0.39600035548210144
62,loss,val,3,3,0.363494336605072
63,loss,val,3,4,0.3412303924560547
64,binary_accuracy,val,3,1,0.7505773901939392
65,binary_accuracy,val,3,2,0.8337182402610779
66,binary_accuracy,val,3,3,0.8314087986946106
67,binary_accuracy,val,3,4,0.8568129539489746
68,auc,val,3,1,0.853905200958252
69,auc,val,3,2,0.9165492653846741
70,auc,val,3,3,0.9257469177246094
71,auc,val,3,4,0.9430431723594666
72,loss,train,4,1,0.7101670503616333
73,loss,train,4,2,0.4690297842025757
74,loss,train,4,3,0.4099745750427246
75,loss,train,4,4,0.3285982012748718
76,binary_accuracy,train,4,1,0.5927518606185913
77,binary_accuracy,train,4,2,0.7800982594490051
78,binary_accuracy,train,4,3,0.8224815726280212
79,binary_accuracy,train,4,4,0.8716216087341309
80,auc,train,4,1,0.6306079030036926
81,auc,train,4,2,0.8626352548599243
82,auc,train,4,3,0.8979842662811279
83,auc,train,4,4,0.9364708065986633
84,loss,val,4,1,0.553428053855896
85,loss,val,4,2,0.5504403114318848
86,loss,val,4,3,0.4171640872955322
87,loss,val,4,4,0.3133423328399658
88,binary_accuracy,val,4,1,0.7413395047187805
89,binary_accuracy,val,4,2,0.6951501369476318
90,binary_accuracy,val,4,3,0.8360277414321899
91,binary_accuracy,val,4,4,0.8729792237281799
92,auc,val,4,1,0.8143298625946045
93,auc,val,4,2,0.8679044246673584
94,auc,val,4,3,0.9161011576652527
95,auc,val,4,4,0.9416773319244385
96,loss,train,5,1,0.6344215869903564
97,loss,train,5,2,0.4314756393432617
98,loss,train,5,3,0.3158397376537323
99,loss,train,5,4,0.2790687382221222
100,binary_accuracy,train,5,1,0.648034393787384
101,binary_accuracy,train,5,2,0.8163390755653381
102,binary_accuracy,train,5,3,0.875921368598938
103,binary_accuracy,train,5,4,0.8845208883285522
104,auc,train,5,1,0.7197797298431396
105,auc,train,5,2,0.8834285736083984
106,auc,train,5,3,0.9393028616905212
107,auc,train,5,4,0.9529784917831421
108,loss,val,5,1,0.46068549156188965
109,loss,val,5,2,0.354530930519104
110,loss,val,5,3,0.3309558033943176
111,loss,val,5,4,0.2696495056152344
112,binary_accuracy,val,5,1,0.7990761995315552
113,binary_accuracy,val,5,2,0.8452655673027039
114,binary_accuracy,val,5,3,0.8637413382530212
115,binary_accuracy,val,5,4,0.9053117632865906
116,auc,val,5,1,0.8784677386283875
117,auc,val,5,2,0.9286705255508423
118,auc,val,5,3,0.9421361088752747
119,auc,val,5,4,0.9567435383796692
120,loss,train,6,1,0.5990923643112183
121,loss,train,6,2,0.39421790838241577
122,loss,train,6,3,0.3139498829841614
123,loss,train,6,4,0.27543991804122925
124,binary_accuracy,train,6,1,0.689803421497345
125,binary_accuracy,train,6,2,0.8329238295555115
126,binary_accuracy,train,6,3,0.8728501200675964
127,binary_accuracy,train,6,4,0.8912776708602905
128,auc,train,6,1,0.7519125938415527
129,auc,train,6,2,0.9070045351982117
130,auc,train,6,3,0.9385185241699219
131,auc,train,6,4,0.9532223343849182
132,loss,val,6,1,0.45205453038215637
133,loss,val,6,2,0.38338756561279297
