,metric,train/val,run,epoch,value
0,loss,train,1,1,0.9571754336357117
1,loss,train,1,2,0.698135256767273
2,loss,train,1,3,0.6496578454971313
3,loss,train,1,4,0.6000020503997803
4,loss,train,1,5,0.6134072542190552
5,binary_accuracy,train,1,1,0.5950413346290588
6,binary_accuracy,train,1,2,0.43801653385162354
7,binary_accuracy,train,1,3,0.6776859760284424
8,binary_accuracy,train,1,4,0.6611570119857788
9,binary_accuracy,train,1,5,0.6776859760284424
10,auc,train,1,1,0.5306441783905029
11,auc,train,1,2,0.5287679433822632
12,auc,train,1,3,0.4868668019771576
13,auc,train,1,4,0.6402439475059509
14,auc,train,1,5,0.6676047444343567
15,loss,val,1,1,0.6831199526786804
16,loss,val,1,2,0.6275713443756104
17,loss,val,1,3,0.6143315434455872
18,loss,val,1,4,0.6167812347412109
19,loss,val,1,5,0.6032842397689819
20,binary_accuracy,val,1,1,0.59375
21,binary_accuracy,val,1,2,0.6875
22,binary_accuracy,val,1,3,0.6875
23,binary_accuracy,val,1,4,0.65625
24,binary_accuracy,val,1,5,0.71875
25,auc,val,1,1,0.6613636016845703
26,auc,val,1,2,0.5863636136054993
27,auc,val,1,3,0.6022727489471436
28,auc,val,1,4,0.6022726893424988
29,auc,val,1,5,0.6295454502105713
30,loss,train,2,1,0.8785770535469055
31,loss,train,2,2,0.6359661221504211
32,loss,train,2,3,0.6527332663536072
33,loss,train,2,4,0.6201208829879761
34,loss,train,2,5,0.6295530200004578
35,binary_accuracy,train,2,1,0.4876033067703247
36,binary_accuracy,train,2,2,0.6776859760284424
37,binary_accuracy,train,2,3,0.6776859760284424
38,binary_accuracy,train,2,4,0.6776859760284424
39,binary_accuracy,train,2,5,0.7272727489471436
40,auc,train,2,1,0.48248904943466187
41,auc,train,2,2,0.4960912764072418
42,auc,train,2,3,0.5157911777496338
43,auc,train,2,4,0.5911507606506348
44,auc,train,2,5,0.6452470421791077
45,loss,val,2,1,0.6359310746192932
46,loss,val,2,2,0.6454041600227356
47,loss,val,2,3,0.6271201968193054
48,loss,val,2,4,0.6264898777008057
49,loss,val,2,5,0.6200389862060547
50,binary_accuracy,val,2,1,0.6875
51,binary_accuracy,val,2,2,0.6875
52,binary_accuracy,val,2,3,0.6875
53,binary_accuracy,val,2,4,0.6875
54,binary_accuracy,val,2,5,0.71875
55,auc,val,2,1,0.5363636016845703
56,auc,val,2,2,0.531818151473999
57,auc,val,2,3,0.5613636374473572
58,auc,val,2,4,0.5772727131843567
59,auc,val,2,5,0.6022727489471436
