,metric,train/val,run,epoch,value
149,loss,val,5,4,0.096613266
150,binary_accuracy,train,6,0,0.8488755
151,auc,train,6,0,0.93495315
152,loss,train,6,0,0.32969204
153,binary_accuracy,val,6,0,0.9359307
154,auc,val,6,0,0.9812812
155,loss,val,6,0,0.20775098
156,binary_accuracy,train,6,1,0.9403682
157,auc,train,6,1,0.9833334
158,loss,train,6,1,0.16209637
159,binary_accuracy,val,6,1,0.94946206
160,auc,val,6,1,0.98661685
161,loss,val,6,1,0.14036418
162,binary_accuracy,train,6,2,0.9548436
163,auc,train,6,2,0.98950046
164,loss,train,6,2,0.12580527
165,binary_accuracy,val,6,2,0.9505229
166,auc,val,6,2,0.99152887
167,loss,val,6,2,0.12562661
168,binary_accuracy,train,6,3,0.9641438
169,auc,train,6,3,0.99271935
170,loss,train,6,3,0.102051646
171,binary_accuracy,val,6,3,0.9737438
172,auc,val,6,3,0.9956227
173,loss,val,6,3,0.078495085
174,binary_accuracy,train,6,4,0.96921533
175,auc,train,6,4,0.99448127
176,loss,train,6,4,0.08800834
177,binary_accuracy,val,6,4,0.96932524
178,auc,val,6,4,0.99389845
179,loss,val,6,4,0.0909629
180,binary_accuracy,train,7,0,0.81431735
181,auc,train,7,0,0.9071677
182,loss,train,7,0,0.38619062
183,binary_accuracy,val,7,0,0.8941173
184,auc,val,7,0,0.9777964
185,loss,val,7,0,0.253658
186,binary_accuracy,train,7,1,0.93350834
187,auc,train,7,1,0.9785504
188,loss,train,7,1,0.1838781
189,binary_accuracy,val,7,1,0.9558547
190,auc,val,7,1,0.98916227
191,loss,val,7,1,0.13098504
192,binary_accuracy,train,7,2,0.9482211
193,auc,train,7,2,0.986345
194,loss,train,7,2,0.14383483
195,binary_accuracy,val,7,2,0.9403193
196,auc,val,7,2,0.98497254
197,loss,val,7,2,0.16015147
198,binary_accuracy,train,7,3,0.9643563
199,auc,train,7,3,0.99264586
200,loss,train,7,3,0.102879524
201,binary_accuracy,val,7,3,0.97206473
202,auc,val,7,3,0.9938035
203,loss,val,7,3,0.08505387
204,binary_accuracy,train,7,4,0.97032523
205,auc,train,7,4,0.9950379
206,loss,train,7,4,0.08266643
207,binary_accuracy,val,7,4,0.973475
208,auc,val,7,4,0.99394476
209,loss,val,7,4,0.084907494
210,binary_accuracy,train,8,0,0.8443245
211,auc,train,8,0,0.92462355
212,loss,train,8,0,0.358958
213,binary_accuracy,val,8,0,0.93728113
214,auc,val,8,0,0.98428273
215,loss,val,8,0,0.19343963
216,binary_accuracy,train,8,1,0.9472094
217,auc,train,8,1,0.98585933
218,loss,train,8,1,0.1478962
219,binary_accuracy,val,8,1,0.9537088
220,auc,val,8,1,0.991629
221,loss,val,8,1,0.124326624
222,binary_accuracy,train,8,2,0.9581542
223,auc,train,8,2,0.99121475
224,loss,train,8,2,0.11409654
225,binary_accuracy,val,8,2,0.9675792
226,auc,val,8,2,0.9939541
227,loss,val,8,2,0.096140064
228,binary_accuracy,train,8,3,0.96663666
229,auc,train,8,3,0.9938903
230,loss,train,8,3,0.093048215
231,binary_accuracy,val,8,3,0.9663168
232,auc,val,8,3,0.99224985
233,loss,val,8,3,0.09786135
234,binary_accuracy,train,8,4,0.97338426
235,auc,train,8,4,0.9955201
236,loss,train,8,4,0.07621484
237,binary_accuracy,val,8,4,0.9720649
238,auc,val,8,4,0.99485785
239,loss,val,8,4,0.08334832
240,binary_accuracy,train,9,0,0.80886495
241,auc,train,9,0,0.89822376
242,loss,train,9,0,0.4185413
243,binary_accuracy,val,9,0,0.90882313
244,auc,val,9,0,0.9798206
245,loss,val,9,0,0.24089831
246,binary_accuracy,train,9,1,0.94264203
247,auc,train,9,1,0.98433524
248,loss,train,9,1,0.1570283
249,binary_accuracy,val,9,1,0.95273894
250,auc,val,9,1,0.99009943
251,loss,val,9,1,0.1433416
252,binary_accuracy,train,9,2,0.96213824
253,auc,train,9,2,0.9921594
254,loss,train,9,2,0.106184
255,binary_accuracy,val,9,2,0.97046673
256,auc,val,9,2,0.9924665
257,loss,val,9,2,0.100367785
258,binary_accuracy,train,9,3,0.9719695
259,auc,train,9,3,0.9952855
260,loss,train,9,3,0.07847439
261,binary_accuracy,val,9,3,0.9696341
262,auc,val,9,3,0.99426675
263,loss,val,9,3,0.09294745
264,binary_accuracy,train,9,4,0.9773918
265,auc,train,9,4,0.9969656
266,loss,train,9,4,0.0631248
267,binary_accuracy,val,9,4,0.9727096
268,auc,val,9,4,0.9935619
269,loss,val,9,4,0.08912576
270,binary_accuracy,train,10,0,0.82516575
271,auc,train,10,0,0.9132155
272,loss,train,10,0,0.37978342
273,binary_accuracy,val,10,0,0.9346486
274,auc,val,10,0,0.9805658
275,loss,val,10,0,0.20442364
276,binary_accuracy,train,10,1,0.93587774
277,auc,train,10,1,0.9804738
278,loss,train,10,1,0.1743233
279,binary_accuracy,val,10,1,0.9450333
280,auc,val,10,1,0.98696536
281,loss,val,10,1,0.15217102
282,binary_accuracy,train,10,2,0.9511415
283,auc,train,10,2,0.9889257
284,loss,train,10,2,0.13029385
285,binary_accuracy,val,10,2,0.9572651
286,auc,val,10,2,0.9930346
287,loss,val,10,2,0.112152465
288,binary_accuracy,train,10,3,0.96102417
289,auc,train,10,3,0.9928519
290,loss,train,10,3,0.10352441
291,binary_accuracy,val,10,3,0.95886326
292,auc,val,10,3,0.9924449
293,loss,val,10,3,0.118007466
294,binary_accuracy,train,10,4,0.97122633
295,auc,train,10,4,0.99507344
296,loss,train,10,4,0.082152836
297,binary_accuracy,val,10,4,0.9690969
298,auc,val,10,4,0.99395585
299,loss,val,10,4,0.090947114
