,metric,train/val,epoch,mean,median,min,max,std
0,auc,train,0,0.6051882207393646,0.6051882207393646,0.5911626219749451,0.6192138195037842,0.01983519199304546
1,auc,train,1,0.6843679249286652,0.6843679249286652,0.6262047290802002,0.7425311207771301,0.08225518039986165
2,auc,train,2,0.8371831774711609,0.8371831774711609,0.8231223225593567,0.8512440323829651,0.01988505171483385
3,auc,val,0,0.7228281795978546,0.7228281795978546,0.6970475912094116,0.7486087679862976,0.03645925774489441
4,auc,val,1,0.8439358472824097,0.8439358472824097,0.8020921945571899,0.8857795000076294,0.05917586118323566
5,auc,val,2,0.9024373292922974,0.9024373292922974,0.8877761363983154,0.9170985221862793,0.020734057831237298
6,binary_accuracy,train,0,0.5780846178531647,0.5780846178531647,0.5685437917709351,0.5876254439353943,0.013492765641732083
7,binary_accuracy,train,1,0.6416966021060944,0.6416966021060944,0.5942252278327942,0.6891679763793945,0.06713466132179033
8,binary_accuracy,train,2,0.7479913830757141,0.7479913830757141,0.723242461681366,0.7727403044700623,0.0350002602899928
9,binary_accuracy,val,0,0.616911768913269,0.616911768913269,0.5094919800758362,0.7243315577507019,0.15191452224115157
10,binary_accuracy,val,1,0.753208577632904,0.753208577632904,0.7263368964195251,0.780080258846283,0.03800229601572676
11,binary_accuracy,val,2,0.8008021414279938,0.8008021414279938,0.7930481433868408,0.8085561394691467,0.01096580919241292
12,loss,train,0,0.7076319456100464,0.7076319456100464,0.7021675109863281,0.7130963802337646,0.007727877555563486
13,loss,train,1,0.6457227170467377,0.6457227170467377,0.6114248037338257,0.6800206303596497,0.048504574168216866
14,loss,train,2,0.5086783021688461,0.5086783021688461,0.4923722445964813,0.5249843597412109,0.023060247767674815
15,loss,val,0,0.6849130094051361,0.6849130094051361,0.6834097504615784,0.6864162683486938,0.002125929185738006
16,loss,val,1,0.5783984959125519,0.5783984959125519,0.5541908740997314,0.6026061177253723,0.03423474708048943
17,loss,val,2,0.4465554356575012,0.4465554356575012,0.4341644048690796,0.45894646644592285,0.017523563792768454
