,metric,train/val,epoch,mean,median,min,max,std
0,auc,train,1,0.7772408425807953,0.7772408425807953,0.7503539323806763,0.8041277527809143,0.03802383305531582
1,auc,train,2,0.8972770273685455,0.8972770273685455,0.8793994784355164,0.9151545763015747,0.025282672163078515
2,auc,train,3,0.9313331842422485,0.9313331842422485,0.9262558221817017,0.9364105463027954,0.007180474287103994
3,auc,train,4,0.9465149939060211,0.9465149939060211,0.9460452198982239,0.9469847679138184,0.0006643607730772226
4,auc,train,5,0.9592480063438416,0.9592480063438416,0.9581607580184937,0.9603352546691895,0.0015376013273744361
5,auc,val,1,0.8860381841659546,0.8860381841659546,0.8776461482048035,0.8944302201271057,0.011868131072182651
6,auc,val,2,0.9203264713287354,0.9203264713287354,0.909112274646759,0.9315406680107117,0.01585926903877027
7,auc,val,3,0.9380281269550323,0.9380281269550323,0.9366623163223267,0.939393937587738,0.0019315479204057625
8,auc,val,4,0.9436993300914764,0.9436993300914764,0.9418374300003052,0.9455612301826477,0.002633124360718105
9,auc,val,5,0.9547322392463684,0.9547322392463684,0.9485809803009033,0.9608834981918335,0.00869919382634555
10,binary_accuracy,train,1,0.7030098140239716,0.7030098140239716,0.6781326532363892,0.727886974811554,0.03518161817913517
11,binary_accuracy,train,2,0.825859934091568,0.825859934091568,0.7936117649078369,0.8581081032752991,0.04560579822133459
12,binary_accuracy,train,3,0.8608722388744354,0.8608722388744354,0.8550368547439575,0.8667076230049133,0.008252479378978585
13,binary_accuracy,train,4,0.8854422569274902,0.8854422569274902,0.8802211284637451,0.8906633853912354,0.007383790684320548
14,binary_accuracy,train,5,0.9103194177150726,0.9103194177150726,0.9078624248504639,0.9127764105796814,0.0034747126317836367
15,binary_accuracy,val,1,0.7736720442771912,0.7736720442771912,0.7274826765060425,0.8198614120483398,0.0653216303393972
16,binary_accuracy,val,2,0.8429561257362366,0.8429561257362366,0.8290992975234985,0.8568129539489746,0.019596514389928266
17,binary_accuracy,val,3,0.8706697523593903,0.8706697523593903,0.8683602809906006,0.8729792237281799,0.0032660857316547114
18,binary_accuracy,val,4,0.8775981664657593,0.8775981664657593,0.8637413382530212,0.8914549946784973,0.019596514389928266
19,binary_accuracy,val,5,0.898383378982544,0.898383378982544,0.8914549946784973,0.9053117632865906,0.009798215048115623
20,loss,train,1,0.5734456479549408,0.5734456479549408,0.5452147126197815,0.6016765832901001,0.03992457162946012
21,loss,train,2,0.41099029779434204,0.41099029779434204,0.3748926520347595,0.44708794355392456,0.05104978020294124
22,loss,train,3,0.3398822546005249,0.3398822546005249,0.32234740257263184,0.35741710662841797,0.024798025552051742
23,loss,train,4,0.2962525486946106,0.2962525486946106,0.2944191098213196,0.2980859875679016,0.0025928741203902006
24,loss,train,5,0.2587395906448364,0.2587395906448364,0.2526787519454956,0.26480042934417725,0.008571320287963497
25,loss,val,1,0.49433912336826324,0.49433912336826324,0.4458906352519989,0.5427876114845276,0.06851650897049276
26,loss,val,2,0.3664173036813736,0.3664173036813736,0.35179227590560913,0.38104233145713806,0.020682912630569327
27,loss,val,3,0.32434698939323425,0.32434698939323425,0.3227405250072479,0.3259534537792206,0.0022718837221312317
28,loss,val,4,0.32491494715213776,0.32491494715213776,0.32345443964004517,0.32637545466423035,0.0020654695315491284
29,loss,val,5,0.27956151962280273,0.27956151962280273,0.2744375467300415,0.28468549251556396,0.007246391958175033
