,metric,train/val,epoch,mean,median,min,max,std
0,auc,train,1,0.8937633664984452,0.8930306434631348,0.8631515502929688,0.9150210022926331,0.01454022585482636
1,auc,train,2,0.969853212958888,0.9685747623443604,0.963283121585846,0.9793568253517151,0.004465641679634667
2,auc,train,3,0.9830880635663083,0.9830073714256287,0.977505087852478,0.9888589978218079,0.0029390693891687748
3,auc,train,4,0.990237621884597,0.9902012348175049,0.9872528910636902,0.9930455088615417,0.001769179524102171
4,auc,val,1,0.9599674845996656,0.9608980417251587,0.9431453347206116,0.9775923490524292,0.009148488329355636
5,auc,val,2,0.9778110761391489,0.9780926704406738,0.9680737257003784,0.9866354465484619,0.005010245979113153
6,auc,val,3,0.9842397696093509,0.9841095805168152,0.9751003384590149,0.990392804145813,0.004206833312275358
7,auc,val,4,0.986417155516775,0.9861354827880859,0.9795103669166565,0.9915010333061218,0.0035274506861481076
8,binary_accuracy,train,1,0.8098461596589339,0.8093318939208984,0.7684133648872375,0.83473801612854,0.01722943279635968
9,binary_accuracy,train,2,0.9182529449462891,0.9169414639472961,0.9072920680046082,0.9359961152076721,0.007611183534083724
10,binary_accuracy,train,3,0.9422126255537334,0.9428362250328064,0.9292781352996826,0.9546842575073242,0.006469823550862826
11,binary_accuracy,train,4,0.9573007257361161,0.9574936032295227,0.9480884075164795,0.9662880301475525,0.005388600820879418
12,binary_accuracy,val,1,0.8934590283193087,0.8946403861045837,0.8616582751274109,0.9184608459472656,0.01716873571314673
13,binary_accuracy,val,2,0.9269233565581473,0.9244159460067749,0.9051763415336609,0.9464040398597717,0.011201383112791678
14,binary_accuracy,val,3,0.9419437301786322,0.9427393674850464,0.922125518321991,0.9537333846092224,0.008399394341659832
15,binary_accuracy,val,4,0.9460664924822355,0.9445716738700867,0.9161704182624817,0.963353157043457,0.011906144726696733
16,loss,train,1,0.4170589964640768,0.4208768904209137,0.3743772804737091,0.46273377537727356,0.026490287281459208
17,loss,train,2,0.2212612072103902,0.2253054678440094,0.17970214784145355,0.2465430647134781,0.017983549478045455
18,loss,train,3,0.16159104987194664,0.16175256669521332,0.12872491776943207,0.18958716094493866,0.015585289018767623
19,loss,train,4,0.12035693973302841,0.12076257169246674,0.09885481745004654,0.1409773826599121,0.012303193860308934
20,loss,val,1,0.27928788097281204,0.2804619073867798,0.20538769662380219,0.3346713185310364,0.037149549762419895
21,loss,val,2,0.1992226392030716,0.20541822910308838,0.1461043506860733,0.2416471540927887,0.02569518101361493
22,loss,val,3,0.16251749584549352,0.1618996113538742,0.12444816529750824,0.20575052499771118,0.02480951364405663
23,loss,val,4,0.15269838273525238,0.16071541607379913,0.10930599272251129,0.21126814186573029,0.028879529174198105
