,FL_overall,FL_client_1,FL_client_2,FL_client_3,FL_client_4,FL_client_5,AD_overall,OMPC_client_1,OMPC_client_2,OMPC_client_3,OMPC_client_4,OMPC_client_5
mean,0.9881572365760803,0.9886730551719666,0.9866746187210083,0.9886950492858887,0.9896150827407837,0.9874294996261597,0.9900632858276367,0.9652389764785767,0.9690813064575196,0.9745599746704101,0.9637414813041687,0.9670834064483642
sd,0.0023441476880961196,0.002272530866660575,0.003025135764016488,0.0018325719374418894,0.001642508003169833,0.003010765121875109,0.0025195945937341543,0.008749593191893217,0.00525111947546208,0.005159801182178695,0.021985257823840663,0.0031908191640701066
