,FL_overall,FL_client_1,FL_client_2,FL_client_3,FL_client_4,FL_client_5,AD_overall,OMPC_client_1,OMPC_client_2,OMPC_client_3,OMPC_client_4,OMPC_client_5
mean,0.9839890837669373,0.9860636591911316,0.9823548913002014,0.9799409747123718,0.9861396551132202,0.9740070462226867,0.9879905819892884,0.9275441646575928,0.9486784100532532,0.9363285183906556,0.9332711577415467,0.9417627334594727
sd,0.0019483367175239545,0.0017678433394836515,0.002214141429078224,0.003174100557790501,0.00189493840512161,0.004659010513950324,0.0024530582411916055,0.010877101276408924,0.010563008332474033,0.022544260776484144,0.0078397208650676,0.0061159426472356965
