,FL_overall,FL_client_1,FL_client_2,FL_client_3,FL_client_4,FL_client_5,AD_overall,OMPC_client_1,OMPC_client_2,OMPC_client_3,OMPC_client_4,OMPC_client_5
mean,0.9855518579483032,0.9816323399543763,0.9878193497657776,0.9875401973724365,0.9888684511184692,0.9796604871749878,0.9901305794715881,0.9693546414375305,0.9668432712554932,0.867136561870575,0.9190222024917603,0.9353614211082458
sd,0.0007287648048271084,0.0016205583775535117,0.0016416593019194868,0.002678213852967262,0.0017875976902431464,0.0029123916255096196,0.0016220701346497239,0.005242519423180344,0.007762497253348724,0.04370050370829037,0.019060642966642807,0.00607787791435587
