,metric,train/val,epoch,mean,median,min,max,std
0,auc,train,1,0.6288244922955831,0.6440314650535583,0.556760311126709,0.6856817007064819,0.06579225021338947
1,auc,train,2,0.8383829991022745,0.8573140501976013,0.7893306016921997,0.8685043454170227,0.042847508043425256
2,auc,val,1,0.8330218394597372,0.8349618315696716,0.7948173880577087,0.869286298751831,0.037272340173810474
3,auc,val,2,0.87942506869634,0.8785471320152283,0.8529311418533325,0.906796932220459,0.02694362489682548
4,binary_accuracy,train,1,0.5924112598101298,0.6156670451164246,0.5275397896766663,0.6340269446372986,0.05692540913829068
5,binary_accuracy,train,2,0.7621378898620605,0.7845777273178101,0.7148102521896362,0.7870256900787354,0.04100520815895131
6,binary_accuracy,val,1,0.686635951201121,0.6866359710693359,0.6267281174659729,0.7465437650680542,0.05990782380104312
7,binary_accuracy,val,2,0.7864823341369629,0.7834101319313049,0.764976978302002,0.8110598921775818,0.02319455879318174
8,loss,train,1,0.7029037276903788,0.6744547486305237,0.6467324495315552,0.7875239849090576,0.07458265492491996
9,loss,train,2,0.5199396808942159,0.4871253967285156,0.48598068952560425,0.5867129564285278,0.05783018530863407
10,loss,val,1,0.5902681549390157,0.5714954733848572,0.5686134099960327,0.6306955814361572,0.03504082165461644
11,loss,val,2,0.48466333746910095,0.4976515471935272,0.4406634569168091,0.5156750082969666,0.03915614133183659
