,metric,train/val,epoch,mean,median,min,max,std
0,auc,train,1,0.6369429429372152,0.6265628337860107,0.5795572996139526,0.7047086954116821,0.06321809841353322
1,auc,train,2,0.8378425637880961,0.8335581421852112,0.8169764876365662,0.862993061542511,0.02330554590357779
2,auc,val,1,0.8450297315915426,0.8425233364105225,0.8283347487449646,0.8642311096191406,0.01807895720457485
3,auc,val,2,0.8776833812395731,0.8751487135887146,0.8671197891235352,0.8907816410064697,0.01203283897123682
4,binary_accuracy,train,1,0.5997552076975504,0.5960832238197327,0.5520195960998535,0.6511628031730652,0.04967349873312377
5,binary_accuracy,train,2,0.767849862575531,0.7674418687820435,0.7539779543876648,0.7821297645568848,0.014080339063836229
6,binary_accuracy,val,1,0.7526881893475851,0.7788018584251404,0.6635944843292236,0.8156682252883911,0.07932873663968212
7,binary_accuracy,val,2,0.7926267385482788,0.7788018584251404,0.764976978302002,0.8341013789176941,0.036577194711104294
8,loss,train,1,0.6924564242362976,0.6882439255714417,0.6475821137428284,0.7415432333946228,0.04712198913782999
9,loss,train,2,0.5184050103028616,0.5118852853775024,0.4785614311695099,0.5647683143615723,0.04347167798980428
10,loss,val,1,0.5884697437286377,0.5737651586532593,0.534087061882019,0.6575570106506348,0.06303471804418918
11,loss,val,2,0.4732026159763336,0.4954940378665924,0.42767757177352905,0.4964362382888794,0.03942865928052108
