,metric,train/val,epoch,mean,median,min,max,std
0,auc,train,1,0.633573979139328,0.6250149607658386,0.5795572996139526,0.7047086954116821,0.052055274913320224
1,auc,train,2,0.8132589310407639,0.8252673149108887,0.7395080327987671,0.862993061542511,0.052721143539684406
2,auc,val,1,0.8444987088441849,0.8427144885063171,0.8283347487449646,0.8642311096191406,0.014799563159186305
3,auc,val,2,0.8584112226963043,0.8711342513561249,0.8005947470664978,0.8907816410064697,0.03977675856752747
4,binary_accuracy,train,1,0.5887392908334732,0.5758873820304871,0.5520195960998535,0.6511628031730652,0.04615596041341585
5,binary_accuracy,train,2,0.7481640130281448,0.7607099115848541,0.6891064643859863,0.7821297645568848,0.04101586670681269
6,binary_accuracy,val,1,0.7235023230314255,0.721198171377182,0.6359447240829468,0.8156682252883911,0.08719303187983342
7,binary_accuracy,val,2,0.782258078455925,0.7718894183635712,0.7511520981788635,0.8341013789176941,0.036358821447700605
8,loss,train,1,0.6937891840934753,0.6930156946182251,0.6475821137428284,0.7415432333946228,0.03856716525169387
9,loss,train,2,0.5425155386328697,0.5383267998695374,0.4785614311695099,0.6148471236228943,0.059875939771954025
10,loss,val,1,0.5975065678358078,0.5991910994052887,0.534087061882019,0.6575570106506348,0.054548821060123216
11,loss,val,2,0.49894804507493973,0.4959651380777359,0.42767757177352905,0.5761843323707581,0.06072661080332381
