,FL_overall,FL_client_1,FL_client_2,FL_client_3,FL_client_4,FL_client_5,FL_client_6,FL_client_7,FL_client_8,FL_client_9,FL_client_10,AD_overall,OMPC_client_1,OMPC_client_2,OMPC_client_3,OMPC_client_4,OMPC_client_5,OMPC_client_6,OMPC_client_7,OMPC_client_8,OMPC_client_9,OMPC_client_10
run_1,0.9772142767906189,0.9821118116378784,0.9754852652549744,0.9686310291290283,0.9746020436286926,0.9722603559494019,0.9752307534217834,0.9610263109207153,0.9836351275444031,0.9818891882896423,0.9667673110961914,0.9888409376144409,0.840092122554779,0.9364172220230103,0.9160746932029724,0.9345675706863403,0.9403842091560364,0.9006273746490479,0.818980872631073,0.5233191251754761,0.9035570621490479,0.8262902498245239
run_2,0.979690670967102,0.9820748567581177,0.9800955057144165,0.9727896451950073,0.9799957871437073,0.973136305809021,0.9788411259651184,0.9611150622367859,0.9820963144302368,0.9831025004386902,0.9630978107452393,0.9921026229858398,0.9594029784202576,0.9445937275886536,0.8894046545028687,0.9312636852264404,0.9232577085494995,0.8657670617103577,0.6544744372367859,0.7418027520179749,0.9178503751754761,0.8123816251754761
run_3,0.985912561416626,0.9845386147499084,0.9830722808837891,0.9859107136726379,0.9858865737915039,0.9806216955184937,0.9807054400444031,0.9713245630264282,0.9865944385528564,0.9958866238594055,0.9881332516670227,0.9888245463371277,0.847774863243103,0.9448394775390625,0.9008457064628601,0.9490044713020325,0.9388296008110046,0.8908913135528564,0.835878312587738,0.6788588762283325,0.8971354365348816,0.7587890625
run_4,0.9861594438552856,0.9868549704551697,0.9832035899162292,0.9801957011222839,0.9847131371498108,0.9814257621765137,0.9828066229820251,0.9751420021057129,0.9833688139915466,0.9930457472801208,0.9883995652198792,0.9909382462501526,0.9514214992523193,0.9278932809829712,0.877292275428772,0.9400148391723633,0.9354954361915588,0.9031132459640503,0.8801491856575012,0.8083866238594055,0.8705610632896423,0.8294271230697632
run_5,0.9803469777107239,0.9846991300582886,0.9787428975105286,0.9722732305526733,0.97881680727005,0.9749657511711121,0.981386125087738,0.9665600657463074,0.9816228747367859,0.9841678738594055,0.9757634997367859,0.9904972910881042,0.9392961859703064,0.9441335797309875,0.9045266509056091,0.9447711706161499,0.9425806403160095,0.8662997484207153,0.8139796853065491,0.8507634997367859,0.9113695621490479,0.8420336246490479
mean,0.9818647861480713,0.9840558767318726,0.9801199078559876,0.9759600639343262,0.9808028697967529,0.9764819741249084,0.9797940135002137,0.9670336008071899,0.9834635138511658,0.9876183867454529,0.9764322876930237,0.990240728855133,0.9075975298881531,0.939575457572937,0.8976287961006164,0.9399243474006653,0.9361095190048218,0.8853397488594055,0.8006924986839294,0.720626175403595,0.9000946998596191,0.8137843370437622
sd,0.003983915348097108,0.0020115644243912535,0.003224990951114706,0.006969847544002234,0.004587491390018058,0.004268864663497234,0.002922869768755433,0.006234969816049726,0.001942826254245918,0.006382455847952708,0.011745165119574963,0.0014127980120601856,0.05861928234298863,0.0074181722720304474,0.014827260461362533,0.007239659180000612,0.007633697688970954,0.018207417932661056,0.08579356334863524,0.12821919341989046,0.01827133962428302,0.03250217178155417
