,metric,train/val,epoch,mean,median,min,max,std
0,auc,train,1,0.5316564937432607,0.5385007858276367,0.459134966135025,0.5973337292671204,0.0693531382376633
1,auc,train,2,0.6238074898719788,0.600628674030304,0.578436553478241,0.6923572421073914,0.060393906582549076
2,auc,val,1,0.5711768766244253,0.49207186698913574,0.4545454680919647,0.7669132947921753,0.1705479894381714
3,auc,val,2,0.8344533443450928,0.8990485668182373,0.6672078371047974,0.9371036291122437,0.1460833382374525
4,binary_accuracy,train,1,0.8598191738128662,0.8870523571968079,0.8053528070449829,0.8870523571968079,0.04716925727282747
5,binary_accuracy,train,2,0.86063019434611,0.8870523571968079,0.8077858686447144,0.8870523571968079,0.04576452850326758
6,binary_accuracy,val,1,0.8601784308751425,0.8865979313850403,0.8073394298553467,0.8865979313850403,0.04575991719373496
7,binary_accuracy,val,2,0.8632365465164185,0.8865979313850403,0.8165137767791748,0.8865979313850403,0.040463105527623784
8,loss,train,1,0.5487398107846578,0.5349340438842773,0.5298164486885071,0.581468939781189,0.02845952140849572
9,loss,train,2,0.3956463535626729,0.36736586689949036,0.33064451813697815,0.4889286756515503,0.08284508479357304
10,loss,val,1,0.4386584560076396,0.43827569484710693,0.35655176639556885,0.5211479067802429,0.08229873776044407
11,loss,val,2,0.37872564792633057,0.34739527106285095,0.31146326661109924,0.4773184061050415,0.08725351689155289
