,metric,train/val,epoch,mean,median,min,max,std
0,auc,train,1,0.5139614045619965,0.4996884614229202,0.459134966135025,0.5973337292671204,0.06677601800152409
1,auc,train,2,0.60977403819561,0.5895326137542725,0.5676736831665039,0.6923572421073914,0.05673946626478798
2,auc,val,1,0.5410720556974411,0.47330866754055023,0.45075759291648865,0.7669132947921753,0.1517111689135583
3,auc,val,2,0.791356772184372,0.7831282019615173,0.6620670557022095,0.9371036291122437,0.1471602956022746
4,binary_accuracy,train,1,0.838295042514801,0.8462025821208954,0.7737226486206055,0.8870523571968079,0.057761972499146774
5,binary_accuracy,train,2,0.8468108475208282,0.8474191129207611,0.8053528070449829,0.8870523571968079,0.046477508174678384
6,binary_accuracy,val,1,0.8469686806201935,0.8469686806201935,0.8073394298553467,0.8865979313850403,0.04575991719373497
7,binary_accuracy,val,2,0.8515558540821075,0.8515558540821075,0.8165137767791748,0.8865979313850403,0.040463105527623784
8,loss,train,1,0.5542854219675064,0.5529281497001648,0.5298164486885071,0.581468939781189,0.025748361490246837
9,loss,train,2,0.4212730675935745,0.4281472712755203,0.33064451813697815,0.4981532096862793,0.08486726462181578
10,loss,val,1,0.458249568939209,0.4776493012905121,0.35655176639556885,0.5211479067802429,0.07778582763951876
11,loss,val,2,0.4055550992488861,0.41235683858394623,0.31146326661109924,0.48604345321655273,0.08918928545350713
