,metric,train/val,epoch,mean,median,min,max,std
0,auc,train,1,0.7389984,0.7389984,0.7361643,0.74183255,0.004008080999689001
1,auc,train,2,0.7732364,0.7732364,0.7548532,0.79161954,0.02599773559491434
2,auc,train,3,0.8133087,0.8133087,0.80769324,0.81892425,0.007941519930665207
3,auc,train,4,0.83954835,0.83954835,0.83746517,0.84163153,0.002946064710911493
4,auc,train,5,0.8607209,0.8607209,0.8551834,0.86625826,0.007831095187566665
5,auc,val,1,0.6575651,0.6575651,0.60836536,0.7067648,0.06957892565433112
6,auc,val,2,0.8382523,0.8382523,0.81723225,0.8592723,0.029726804457461224
7,auc,val,3,0.8588455,0.8588455,0.84087706,0.87681395,0.02541122005103674
8,auc,val,4,0.8961214,0.8961214,0.8893939,0.9028489,0.009514103142303686
9,auc,val,5,0.90511626,0.90511626,0.9045241,0.90570843,0.0008374578799114644
10,binary_accuracy,train,1,0.6758714,0.6758714,0.66937095,0.6823718,0.009192986303499184
11,binary_accuracy,train,2,0.70660937,0.70660937,0.6951326,0.71808606,0.016230540627302736
12,binary_accuracy,train,3,0.75439966,0.75439966,0.74757737,0.761222,0.009648214414265352
13,binary_accuracy,train,4,0.7644557,0.7644557,0.7610376,0.76787376,0.004833906349411458
14,binary_accuracy,train,5,0.80031633,0.80031633,0.7955295,0.8051032,0.0067696268078198
15,binary_accuracy,val,1,0.5404256,0.5404256,0.539239,0.5416122,0.0016781189203097567
16,binary_accuracy,val,2,0.72958785,0.72958785,0.7011594,0.7580163,0.04020387879454182
17,binary_accuracy,val,3,0.76156723,0.76156723,0.7245798,0.7985547,0.05230815865893101
18,binary_accuracy,val,4,0.80838394,0.80838394,0.8041842,0.8125836,0.005939291745306676
19,binary_accuracy,val,5,0.810405,0.810405,0.8028323,0.8179777,0.010709429912921151
20,loss,train,1,0.62187004,0.62187004,0.6142782,0.6294619,0.010736488189665145
21,loss,train,2,0.58238006,0.58238006,0.5695809,0.5951792,0.018100722736276637
22,loss,train,3,0.54847133,0.54847133,0.54030746,0.55663514,0.011545412653134735
23,loss,train,4,0.49951625,0.49951625,0.49546033,0.50357217,0.005735933201241612
24,loss,train,5,0.46957666,0.46957666,0.46315938,0.4759939,0.009075375522729535
25,loss,val,1,0.6894959,0.6894959,0.68691003,0.69208187,0.003657039898441764
26,loss,val,2,0.6425922,0.6425922,0.61415803,0.6710263,0.040211928842607395
27,loss,val,3,0.5844393,0.5844393,0.5571947,0.61168385,0.03852963738429506
28,loss,val,4,0.5148479,0.5148479,0.49376148,0.5359342,0.029820623342246475
29,loss,val,5,0.43812495,0.43812495,0.435865,0.4403849,0.003196037669429605
