,metric,train/val,run,epoch,value
0,binary_accuracy,train,1,0,0.8148971
1,auc,train,1,0,0.8946199
2,loss,train,1,0,0.42260867
3,binary_accuracy,val,1,0,0.8286844
4,auc,val,1,0,0.94021726
5,loss,val,1,0,0.5573269
6,binary_accuracy,train,1,1,0.90852565
7,auc,train,1,1,0.96219504
8,loss,train,1,1,0.2511529
9,binary_accuracy,val,1,1,0.9065191
10,auc,val,1,1,0.9718526
11,loss,val,1,1,0.24004565
12,binary_accuracy,train,1,2,0.9384282
13,auc,train,1,2,0.9810464
14,loss,train,1,2,0.17415966
15,binary_accuracy,val,1,2,0.9223185
16,auc,val,1,2,0.9837864
17,loss,val,1,2,0.19802102
18,binary_accuracy,train,1,3,0.94709086
19,auc,train,1,3,0.9850072
20,loss,train,1,3,0.15239993
21,binary_accuracy,val,1,3,0.94079727
22,auc,val,1,3,0.98937625
23,loss,val,1,3,0.14934438
24,binary_accuracy,train,1,4,0.94727355
25,auc,train,1,4,0.98479044
26,loss,train,1,4,0.15304908
27,binary_accuracy,val,1,4,0.9314082
28,auc,val,1,4,0.9864499
29,loss,val,1,4,0.19717816
30,binary_accuracy,train,2,0,0.79947615
31,auc,train,2,0,0.8850611
32,loss,train,2,0,0.43529817
33,binary_accuracy,val,2,0,0.75029725
34,auc,val,2,0,0.91019547
35,loss,val,2,0,0.5962794
36,binary_accuracy,train,2,1,0.89346176
37,auc,train,2,1,0.9552923
38,loss,train,2,1,0.2743246
39,binary_accuracy,val,2,1,0.9222053
40,auc,val,2,1,0.97285455
41,loss,val,2,1,0.23087125
42,binary_accuracy,train,2,2,0.9321069
43,auc,train,2,2,0.9779158
44,loss,train,2,2,0.18792132
45,binary_accuracy,val,2,2,0.92099863
46,auc,val,2,2,0.98114693
47,loss,val,2,2,0.22325327
48,binary_accuracy,train,2,3,0.94828063
49,auc,train,2,3,0.986068
50,loss,train,2,3,0.14764161
51,binary_accuracy,val,2,3,0.94886667
52,auc,val,2,3,0.9886416
53,loss,val,2,3,0.13463908
54,binary_accuracy,train,2,4,0.9540791
55,auc,train,2,4,0.98788404
56,loss,train,2,4,0.13391939
57,binary_accuracy,val,2,4,0.9564481
58,auc,val,2,4,0.99112374
59,loss,val,2,4,0.11980216
60,binary_accuracy,train,3,0,0.78033787
61,auc,train,3,0,0.8649431
62,loss,train,3,0,0.4723241
63,binary_accuracy,val,3,0,0.7666933
64,auc,val,3,0,0.9048627
65,loss,val,3,0,0.618827
66,binary_accuracy,train,3,1,0.88436943
67,auc,train,3,1,0.9472933
68,loss,train,3,1,0.29635483
69,binary_accuracy,val,3,1,0.90203404
70,auc,val,3,1,0.9639859
71,loss,val,3,1,0.26402846
72,binary_accuracy,train,3,2,0.92000985
73,auc,train,3,2,0.9709886
74,loss,train,3,2,0.217322
75,binary_accuracy,val,3,2,0.9084044
76,auc,val,3,2,0.97442335
77,loss,val,3,2,0.23476368
78,binary_accuracy,train,3,3,0.9390656
79,auc,train,3,3,0.9810429
80,loss,train,3,3,0.17146552
81,binary_accuracy,val,3,3,0.9424587
82,auc,val,3,3,0.98592675
83,loss,val,3,3,0.15014394
84,binary_accuracy,train,3,4,0.94776076
85,auc,train,3,4,0.98478085
86,loss,train,3,4,0.15146086
87,binary_accuracy,val,3,4,0.94570154
88,auc,val,3,4,0.9837145
89,loss,val,3,4,0.1677084
90,binary_accuracy,train,4,0,0.8158774
91,auc,train,4,0,0.8902547
92,loss,train,4,0,0.42726013
93,binary_accuracy,val,4,0,0.8378561
94,auc,val,4,0,0.94163185
95,loss,val,4,0,0.56171376
96,binary_accuracy,train,4,1,0.8989924
97,auc,train,4,1,0.9555265
98,loss,train,4,1,0.27251697
99,binary_accuracy,val,4,1,0.91312003
100,auc,val,4,1,0.9687162
101,loss,val,4,1,0.22619021
102,binary_accuracy,train,4,2,0.93177927
103,auc,train,4,2,0.9773144
104,loss,train,4,2,0.19088183
105,binary_accuracy,val,4,2,0.9320513
106,auc,val,4,2,0.98346025
107,loss,val,4,2,0.1735588
108,binary_accuracy,train,4,3,0.9467109
109,auc,train,4,3,0.98418504
110,loss,train,4,3,0.15450394
111,binary_accuracy,val,4,3,0.94475657
112,auc,val,4,3,0.98880136
113,loss,val,4,3,0.15508403
114,binary_accuracy,train,4,4,0.9532225
115,auc,train,4,4,0.9884141
116,loss,train,4,4,0.13296562
117,binary_accuracy,val,4,4,0.9547512
118,auc,val,4,4,0.99172455
119,loss,val,4,4,0.121149704
120,binary_accuracy,train,5,0,0.8052648
121,auc,train,5,0,0.88813543
122,loss,train,5,0,0.4249519
123,binary_accuracy,val,5,0,0.8845755
124,auc,val,5,0,0.9492213
125,loss,val,5,0,0.593217
126,binary_accuracy,train,5,1,0.9005437
127,auc,train,5,1,0.9582505
128,loss,train,5,1,0.26551846
129,binary_accuracy,val,5,1,0.91689086
130,auc,val,5,1,0.9704507
131,loss,val,5,1,0.25508147
132,binary_accuracy,train,5,2,0.93206275
133,auc,train,5,2,0.97812986
134,loss,train,5,2,0.18826202
135,binary_accuracy,val,5,2,0.9433991
136,auc,val,5,2,0.98583186
137,loss,val,5,2,0.16006513
138,binary_accuracy,train,5,3,0.9441204
139,auc,train,5,3,0.9836849
140,loss,train,5,3,0.16041806
141,binary_accuracy,val,5,3,0.95082533
142,auc,val,5,3,0.98896146
143,loss,val,5,3,0.13305166
144,binary_accuracy,train,5,4,0.95123506
145,auc,train,5,4,0.9867321
146,loss,train,5,4,0.14112763
147,binary_accuracy,val,5,4,0.9367981
148,auc,val,5,4,0.9883886
149,loss,val,5,4,0.17425758
150,binary_accuracy,train,6,0,0.79911745
151,auc,train,6,0,0.8815247
152,loss,train,6,0,0.43634108
153,binary_accuracy,val,6,0,0.7105515
154,auc,val,6,0,0.878783
155,loss,val,6,0,0.6192365
156,binary_accuracy,train,6,1,0.87889093
157,auc,train,6,1,0.9457278
158,loss,train,6,1,0.3012556
159,binary_accuracy,val,6,1,0.89207476
160,auc,val,6,1,0.9550055
161,loss,val,6,1,0.27760857
162,binary_accuracy,train,6,2,0.9168681
163,auc,train,6,2,0.9689416
164,loss,train,6,2,0.22659837
165,binary_accuracy,val,6,2,0.9081826
166,auc,val,6,2,0.97204536
167,loss,val,6,2,0.22738576
168,binary_accuracy,train,6,3,0.9369122
169,auc,train,6,3,0.9804612
170,loss,train,6,3,0.1774418
171,binary_accuracy,val,6,3,0.93400776
172,auc,val,6,3,0.982222
173,loss,val,6,3,0.17799328
174,binary_accuracy,train,6,4,0.94392395
175,auc,train,6,4,0.9836238
176,loss,train,6,4,0.15953572
177,binary_accuracy,val,6,4,0.93163455
178,auc,val,6,4,0.9854135
179,loss,val,6,4,0.1744277
180,binary_accuracy,train,7,0,0.77971727
181,auc,train,7,0,0.8628647
182,loss,train,7,0,0.4701938
183,binary_accuracy,val,7,0,0.7173766
184,auc,val,7,0,0.8797589
185,loss,val,7,0,0.6197234
186,binary_accuracy,train,7,1,0.87894094
187,auc,train,7,1,0.9437289
188,loss,train,7,1,0.30786997
189,binary_accuracy,val,7,1,0.8777881
190,auc,val,7,1,0.95368004
191,loss,val,7,1,0.32822144
192,binary_accuracy,train,7,2,0.9211168
193,auc,train,7,2,0.9708506
194,loss,train,7,2,0.21731193
195,binary_accuracy,val,7,2,0.89520663
196,auc,val,7,2,0.97191685
197,loss,val,7,2,0.26075113
198,binary_accuracy,train,7,3,0.93853456
199,auc,train,7,3,0.9808373
200,loss,train,7,3,0.17419882
201,binary_accuracy,val,7,3,0.92213196
202,auc,val,7,3,0.9776544
203,loss,val,7,3,0.21745704
204,binary_accuracy,train,7,4,0.94467837
205,auc,train,7,4,0.98459923
206,loss,train,7,4,0.1559912
207,binary_accuracy,val,7,4,0.94679266
208,auc,val,7,4,0.98741
209,loss,val,7,4,0.15168446
210,binary_accuracy,train,8,0,0.7929342
211,auc,train,8,0,0.8766148
212,loss,train,8,0,0.44952232
213,binary_accuracy,val,8,0,0.5903714
214,auc,val,8,0,0.7847868
215,loss,val,8,0,0.67728114
216,binary_accuracy,train,8,1,0.8889456
217,auc,train,8,1,0.95141804
218,loss,train,8,1,0.28552717
219,binary_accuracy,val,8,1,0.8953555
220,auc,val,8,1,0.96275634
221,loss,val,8,1,0.26319093
