,metric,train/val,epoch,mean,median,min,max,std
0,auc,train,0,0.8980022,0.9019731,0.87451077,0.91154945,0.012868668777269762
1,auc,train,1,0.9693177,0.969863,0.96568865,0.972396,0.0021586941343396155
2,auc,train,2,0.98320687,0.98364365,0.98110133,0.9851079,0.0013782127056830352
3,auc,train,3,0.98836225,0.9886311,0.98610425,0.99035233,0.0014367563685300539
4,auc,train,4,0.9915186,0.99196124,0.98869085,0.99333215,0.0016362942224214087
5,auc,val,0,0.94279736,0.95633054,0.8481007,0.96346885,0.03632312199153865
6,auc,val,1,0.98222244,0.9821489,0.9796694,0.98506767,0.0019622379774123233
7,auc,val,2,0.9879554,0.9882168,0.9833518,0.9906626,0.0021454860746653384
8,auc,val,3,0.9904204,0.99077857,0.9867605,0.99273485,0.0016312894819209191
9,auc,val,4,0.99255776,0.9930836,0.98865616,0.99436677,0.001766020342745489
10,binary_accuracy,train,0,0.81637657,0.8193077,0.7936153,0.83415526,0.013377614340285632
11,binary_accuracy,train,1,0.9177398,0.9181752,0.91152483,0.92330205,0.003348103879884607
12,binary_accuracy,train,2,0.94244915,0.9433892,0.93774444,0.9468908,0.0033166992490628482
13,binary_accuracy,train,3,0.95297617,0.9537027,0.9466033,0.9565336,0.0034911684020910157
14,binary_accuracy,train,4,0.9608647,0.9616209,0.95317996,0.9656104,0.004230655576281407
15,binary_accuracy,val,0,0.8465227,0.87640154,0.608106,0.90886354,0.09571976868994256
16,binary_accuracy,val,1,0.9348332,0.93602264,0.91924244,0.9473483,0.007319249603793053
17,binary_accuracy,val,2,0.94893163,0.94719684,0.93992406,0.9590907,0.006715967110107744
18,binary_accuracy,val,3,0.9558862,0.9565908,0.9431815,0.965227,0.006701401713950947
19,binary_accuracy,val,4,0.963318,0.96503764,0.95659053,0.96818155,0.004447018059951387
20,loss,train,0,0.4102258,0.40269276,0.38624334,0.4531949,0.024854232621733308
21,loss,train,1,0.22443923,0.22295111,0.21153423,0.23931825,0.008760950838752016
22,loss,train,2,0.1619665,0.15981746,0.15083471,0.17279714,0.007780297470665074
23,loss,train,3,0.13220057,0.13132618,0.120466344,0.1466168,0.008948625923626859
24,loss,train,4,0.11092649,0.10830806,0.09718468,0.13049874,0.01184217034688268
25,loss,val,0,0.4389904,0.430184,0.3108916,0.61172897,0.09152981636038277
26,loss,val,1,0.1839842,0.18086624,0.16095525,0.22674432,0.01798377871991722
27,loss,val,2,0.14861387,0.1545461,0.11663654,0.1694107,0.018469530423636034
28,loss,val,3,0.13249227,0.12944391,0.10666753,0.16208404,0.016400722811868662
29,loss,val,4,0.110732645,0.104782425,0.09649232,0.14500165,0.01571443327147986
