,metric,train/val,epoch,mean,median,min,max,std
0,auc,train,1,0.5000328570604324,0.5000328570604324,0.4594819247722626,0.5405837893486023,0.05734767840880286
1,auc,train,2,0.6510855555534363,0.6510855555534363,0.5879979729652405,0.7141731381416321,0.08921931491355922
2,auc,train,3,0.692492663860321,0.692492663860321,0.5351842045783997,0.8498011231422424,0.222467756592509
3,auc,train,4,0.8083986639976501,0.8083986639976501,0.7191457748413086,0.8976515531539917,0.12622264632588076
4,auc,train,5,0.8592139780521393,0.8592139780521393,0.800163209438324,0.9182647466659546,0.0835103978422131
5,auc,val,1,0.6751783490180969,0.6751783490180969,0.512883186340332,0.8374735116958618,0.22952002016644288
6,auc,val,2,0.8260769248008728,0.8260769248008728,0.7420058250427246,0.910148024559021,0.1188944894815946
7,auc,val,3,0.9085623621940613,0.9085623621940613,0.8808799982070923,0.9362447261810303,0.0391487745889201
8,auc,val,4,0.883192390203476,0.883192390203476,0.8710359334945679,0.895348846912384,0.017191825948139207
9,auc,val,5,0.92762291431427,0.92762291431427,0.9134513735771179,0.9417944550514221,0.02004158511020331
10,binary_accuracy,train,1,0.5061255842447281,0.5061255842447281,0.48085758090019226,0.5313935875892639,0.03573435302393129
11,binary_accuracy,train,2,0.6148545145988464,0.6148545145988464,0.5696784257888794,0.6600306034088135,0.06388863749002681
12,binary_accuracy,train,3,0.6531393527984619,0.6531393527984619,0.5298621654510498,0.776416540145874,0.17434027027791912
13,binary_accuracy,train,4,0.7488514482975006,0.7488514482975006,0.6768759489059448,0.8208269476890564,0.10178872739811465
14,binary_accuracy,train,5,0.7787136435508728,0.7787136435508728,0.7289433479309082,0.8284839391708374,0.07038582706907219
15,binary_accuracy,val,1,0.6149425208568573,0.6149425208568573,0.5057471394538879,0.7241379022598267,0.1544255893285821
16,binary_accuracy,val,2,0.6522988379001617,0.6522988379001617,0.49425286054611206,0.8103448152542114,0.2235107646526081
17,binary_accuracy,val,3,0.6465517282485962,0.6465517282485962,0.5114942789077759,0.7816091775894165,0.1910000765573053
18,binary_accuracy,val,4,0.775862067937851,0.775862067937851,0.7701149582862854,0.7816091775894165,0.008127640413689316
19,binary_accuracy,val,5,0.8045977056026459,0.8045977056026459,0.7758620977401733,0.8333333134651184,0.0406382863621436
20,loss,train,1,0.7884065508842468,0.7884065508842468,0.7542757391929626,0.822537362575531,0.04826825678861628
21,loss,train,2,0.6565843224525452,0.6565843224525452,0.6293983459472656,0.6837702989578247,0.03844677668012265
22,loss,train,3,0.5947332829236984,0.5947332829236984,0.4871632754802704,0.7023032903671265,0.1521269634310707
23,loss,train,4,0.5231131464242935,0.5231131464242935,0.4092475473880768,0.6369787454605103,0.16103027444475454
24,loss,train,5,0.4615486264228821,0.4615486264228821,0.3679022192955017,0.5551950335502625,0.1324360190270538
25,loss,val,1,0.666127473115921,0.666127473115921,0.6371995806694031,0.695055365562439,0.04091021782873589
26,loss,val,2,0.6332440823316574,0.6332440823316574,0.4472908079624176,0.8191973567008972,0.2629776425806642
27,loss,val,3,0.5189891457557678,0.5189891457557678,0.3791798949241638,0.6587983965873718,0.1977201386712763
28,loss,val,4,0.4882504642009735,0.4882504642009735,0.46077364683151245,0.5157272815704346,0.03885808777474046
29,loss,val,5,0.3736462891101837,0.3736462891101837,0.32835260033607483,0.4189399778842926,0.06405494895425079
