,metric,train/val,run,epoch,value
0,loss,train,1,1,0.7389732003211975
1,loss,train,1,2,0.5136495232582092
2,loss,train,1,3,0.48117348551750183
3,loss,train,1,4,0.4314369857311249
4,loss,train,1,5,0.4160381555557251
5,binary_accuracy,train,1,1,0.727493941783905
6,binary_accuracy,train,1,2,0.8053528070449829
7,binary_accuracy,train,1,3,0.798053503036499
8,binary_accuracy,train,1,4,0.8345499038696289
9,binary_accuracy,train,1,5,0.8345499038696289
10,auc,train,1,1,0.4571186304092407
11,auc,train,1,2,0.49646899104118347
12,auc,train,1,3,0.6252833008766174
13,auc,train,1,4,0.7351963520050049
14,auc,train,1,5,0.7672394514083862
15,loss,val,1,1,0.5165655016899109
16,loss,val,1,2,0.4956095516681671
17,loss,val,1,3,0.4777761399745941
18,loss,val,1,4,0.43482521176338196
19,loss,val,1,5,0.42879718542099
20,binary_accuracy,val,1,1,0.8073394298553467
21,binary_accuracy,val,1,2,0.8073394298553467
22,binary_accuracy,val,1,3,0.8073394298553467
23,binary_accuracy,val,1,4,0.8165137767791748
24,binary_accuracy,val,1,5,0.7981651425361633
25,auc,val,1,1,0.4675324559211731
26,auc,val,1,2,0.5579004287719727
27,auc,val,1,3,0.6052489280700684
28,auc,val,1,4,0.7359307408332825
29,auc,val,1,5,0.7372835874557495
30,loss,train,2,1,0.5524063110351562
31,loss,train,2,2,0.47211354970932007
32,loss,train,2,3,0.4071853756904602
33,loss,train,2,4,0.39313066005706787
34,loss,train,2,5,0.2964833080768585
35,binary_accuracy,train,2,1,0.7664233446121216
36,binary_accuracy,train,2,2,0.8102189898490906
37,binary_accuracy,train,2,3,0.841849148273468
38,binary_accuracy,train,2,4,0.8321167826652527
39,binary_accuracy,train,2,5,0.8734793066978455
40,auc,train,2,1,0.5201094746589661
41,auc,train,2,2,0.6507741808891296
42,auc,train,2,3,0.7923715710639954
43,auc,train,2,4,0.798281729221344
44,auc,train,2,5,0.9182401895523071
45,loss,val,2,1,0.5056928992271423
46,loss,val,2,2,0.4789354205131531
47,loss,val,2,3,0.48566195368766785
48,loss,val,2,4,0.35007578134536743
49,loss,val,2,5,0.3322201073169708
50,binary_accuracy,val,2,1,0.8073394298553467
51,binary_accuracy,val,2,2,0.8073394298553467
52,binary_accuracy,val,2,3,0.8165137767791748
53,binary_accuracy,val,2,4,0.8899082541465759
54,binary_accuracy,val,2,5,0.8715596199035645
55,auc,val,2,1,0.47456711530685425
56,auc,val,2,2,0.6777597665786743
57,auc,val,2,3,0.7575757503509521
58,auc,val,2,4,0.848755419254303
59,auc,val,2,5,0.8695887327194214
