,metric,train/val,run,epoch,value
0,binary_accuracy,train,1,0,0.64122814
1,auc,train,1,0,0.6708089
2,loss,train,1,0,0.9174408
3,binary_accuracy,val,1,0,0.4938955
4,auc,val,1,0,0.5971637
5,loss,val,1,0,0.69229764
6,binary_accuracy,train,1,1,0.6552631
7,auc,train,1,1,0.70778024
8,loss,train,1,1,0.64744854
9,binary_accuracy,val,1,1,0.49495113
10,auc,val,1,1,0.65079105
11,loss,val,1,1,0.6915415
12,binary_accuracy,train,1,2,0.5885965
13,auc,train,1,2,0.684953
14,loss,train,1,2,0.6418252
15,binary_accuracy,val,1,2,0.6633363
16,auc,val,1,2,0.72885036
17,loss,val,1,2,0.68807125
18,binary_accuracy,train,2,0,0.62894744
19,auc,train,2,0,0.710636
20,loss,train,2,0,0.92726487
21,binary_accuracy,val,2,0,0.54583246
22,auc,val,2,0,0.58930725
23,loss,val,2,0,0.69050705
24,binary_accuracy,train,2,1,0.627193
25,auc,train,2,1,0.71524775
26,loss,train,2,1,0.633955
27,binary_accuracy,val,2,1,0.50705
28,auc,val,2,1,0.68039244
29,loss,val,2,1,0.67919827
30,binary_accuracy,train,2,2,0.61228067
31,auc,train,2,2,0.7448094
32,loss,train,2,2,0.6088642
33,binary_accuracy,val,2,2,0.5240141
34,auc,val,2,2,0.64867824
35,loss,val,2,2,0.68331355
36,binary_accuracy,train,3,0,0.6473684
37,auc,train,3,0,0.67825717
38,loss,train,3,0,0.76042396
39,binary_accuracy,val,3,0,0.49395788
40,auc,val,3,0,0.58692193
41,loss,val,3,0,0.6924843
42,binary_accuracy,train,3,1,0.6385965
43,auc,train,3,1,0.72022617
44,loss,train,3,1,0.61831754
45,binary_accuracy,val,3,1,0.5049074
46,auc,val,3,1,0.56269103
47,loss,val,3,1,0.69222057
48,binary_accuracy,train,3,2,0.6403509
49,auc,train,3,2,0.71874034
50,loss,train,3,2,0.62432826
51,binary_accuracy,val,3,2,0.5176269
52,auc,val,3,2,0.71728826
53,loss,val,3,2,0.68360835
54,binary_accuracy,train,4,0,0.66403514
55,auc,train,4,0,0.69352037
56,loss,train,4,0,0.91835505
57,binary_accuracy,val,4,0,0.5069307
58,auc,val,4,0,0.45495415
59,loss,val,4,0,0.69623375
60,binary_accuracy,train,4,1,0.63771933
61,auc,train,4,1,0.65504396
62,loss,train,4,1,0.64913154
63,binary_accuracy,val,4,1,0.4952853
64,auc,val,4,1,0.6072467
65,loss,val,4,1,0.6920945
66,binary_accuracy,train,4,2,0.55263156
67,auc,train,4,2,0.71007645
68,loss,train,4,2,0.663315
69,binary_accuracy,val,4,2,0.65481013
70,auc,val,4,2,0.7382864
71,loss,val,4,2,0.69059324
72,binary_accuracy,train,5,0,0.6473684
73,auc,train,5,0,0.6749576
74,loss,train,5,0,0.98936796
75,binary_accuracy,val,5,0,0.5036021
76,auc,val,5,0,0.4395256
77,loss,val,5,0,0.6949656
78,binary_accuracy,train,5,1,0.63771933
79,auc,train,5,1,0.67698365
80,loss,train,5,1,0.6536533
81,binary_accuracy,val,5,1,0.49317765
82,auc,val,5,1,0.6134997
83,loss,val,5,1,0.69186604
84,binary_accuracy,train,5,2,0.64122814
85,auc,train,5,2,0.69963723
86,loss,train,5,2,0.6294909
87,binary_accuracy,val,5,2,0.50781196
88,auc,val,5,2,0.5468735
89,loss,val,5,2,0.6928305
90,binary_accuracy,train,6,0,0.64824563
91,auc,train,6,0,0.70731705
92,loss,train,6,0,1.1929188
93,binary_accuracy,val,6,0,0.4942443
94,auc,val,6,0,0.6182842
95,loss,val,6,0,0.6914393
96,binary_accuracy,train,6,1,0.63947374
97,auc,train,6,1,0.70909226
98,loss,train,6,1,0.6531137
99,binary_accuracy,val,6,1,0.5601675
100,auc,val,6,1,0.7782117
101,loss,val,6,1,0.6843123
102,binary_accuracy,train,6,2,0.6447368
103,auc,train,6,2,0.7366471
104,loss,train,6,2,0.6222521
105,binary_accuracy,val,6,2,0.49085703
106,auc,val,6,2,0.72896475
107,loss,val,6,2,0.68869096
108,binary_accuracy,train,7,0,0.6105263
109,auc,train,7,0,0.6720824
110,loss,train,7,0,0.73472416
111,binary_accuracy,val,7,0,0.5066297
112,auc,val,7,0,0.43646628
113,loss,val,7,0,0.6940848
114,binary_accuracy,train,7,1,0.5929825
115,auc,train,7,1,0.6724877
116,loss,train,7,1,0.6510301
117,binary_accuracy,val,7,1,0.49063855
118,auc,val,7,1,0.60875094
119,loss,val,7,1,0.6916438
120,binary_accuracy,train,7,2,0.6254386
121,auc,train,7,2,0.706661
122,loss,train,7,2,0.6521239
123,binary_accuracy,val,7,2,0.6667841
124,auc,val,7,2,0.74016243
125,loss,val,7,2,0.68954647
126,binary_accuracy,train,8,0,0.6517544
127,auc,train,8,0,0.69298005
128,loss,train,8,0,0.81341106
129,binary_accuracy,val,8,0,0.5103951
130,auc,val,8,0,0.5007534
131,loss,val,8,0,0.70233816
132,binary_accuracy,train,8,1,0.6236842
133,auc,train,8,1,0.69149435
134,loss,train,8,1,0.64445376
135,binary_accuracy,val,8,1,0.49426448
136,auc,val,8,1,0.77057225
137,loss,val,8,1,0.68412703
138,binary_accuracy,train,8,2,0.6526316
139,auc,train,8,2,0.7478967
140,loss,train,8,2,0.6581168
141,binary_accuracy,val,8,2,0.53615516
142,auc,val,8,2,0.658406
143,loss,val,8,2,0.6877203
144,binary_accuracy,train,9,0,0.6131579
145,auc,train,9,0,0.6823094
146,loss,train,9,0,0.74438477
147,binary_accuracy,val,9,0,0.4948741
148,auc,val,9,0,0.5893687
149,loss,val,9,0,0.69221413
150,binary_accuracy,train,9,1,0.6289474
151,auc,train,9,1,0.6808235
152,loss,train,9,1,0.66120255
153,binary_accuracy,val,9,1,0.49060735
154,auc,val,9,1,0.6605479
155,loss,val,9,1,0.6907631
156,binary_accuracy,train,9,2,0.6315789
157,auc,train,9,2,0.73795927
158,loss,train,9,2,0.6310988
159,binary_accuracy,val,9,2,0.7235937
160,auc,val,9,2,0.75794715
161,loss,val,9,2,0.6850997
162,binary_accuracy,train,10,0,0.6675439
163,auc,train,10,0,0.6692845
164,loss,train,10,0,0.8786279
165,binary_accuracy,val,10,0,0.50578135
166,auc,val,10,0,0.5809394
167,loss,val,10,0,0.6919205
168,binary_accuracy,train,10,1,0.6254386
169,auc,train,10,1,0.72070855
170,loss,train,10,1,0.6061034
171,binary_accuracy,val,10,1,0.5587574
172,auc,val,10,1,0.7049105
173,loss,val,10,1,0.68637633
174,binary_accuracy,train,10,2,0.6421053
175,auc,train,10,2,0.7217312
176,loss,train,10,2,0.62664557
177,binary_accuracy,val,10,2,0.6504407
178,auc,val,10,2,0.71382064
179,loss,val,10,2,0.6883147
