,metric,train/val,epoch,mean,median,min,max,std
0,auc,train,1,0.5501094460487366,0.5501094460487366,0.5390869379043579,0.5611319541931152,0.015588180509148201
1,auc,train,2,0.5996716618537903,0.5996716618537903,0.4928079843521118,0.7065353393554688,0.15112806204793827
2,auc,train,3,0.5551907420158386,0.5551907420158386,0.44668543338775635,0.6636960506439209,0.15344967905131235
3,auc,train,4,0.70583176612854,0.70583176612854,0.7027829885482788,0.7088805437088013,0.004311622602664459
4,auc,train,5,0.8101157248020172,0.8101157248020172,0.8023765683174133,0.8178548812866211,0.010944820061854495
5,auc,val,1,0.6215909123420715,0.6215909123420715,0.46590906381607056,0.7772727608680725,0.22016738160078442
6,auc,val,2,0.5875000059604645,0.5875000059604645,0.5386363863945007,0.6363636255264282,0.06910359349682525
7,auc,val,3,0.636363685131073,0.636363685131073,0.5545454621315002,0.7181819081306458,0.11570844061526209
8,auc,val,4,0.6340909004211426,0.6340909004211426,0.6181817650794983,0.6500000357627869,0.022498914965782473
9,auc,val,5,0.6829545497894287,0.6829545497894287,0.6772726774215698,0.6886364221572876,0.00803538096229897
10,binary_accuracy,train,1,0.5785124003887177,0.5785124003887177,0.5454545617103577,0.6115702390670776,0.046750843801678564
11,binary_accuracy,train,2,0.6280991733074188,0.6280991733074188,0.5785123705863953,0.6776859760284424,0.07012632892279061
12,binary_accuracy,train,3,0.6735537350177765,0.6735537350177765,0.6694214940071106,0.6776859760284424,0.005843871280278012
13,binary_accuracy,train,4,0.6900826692581177,0.6900826692581177,0.6776859760284424,0.702479362487793,0.017531571693985525
14,binary_accuracy,train,5,0.7520661056041718,0.7520661056041718,0.7355371713638306,0.7685950398445129,0.023375442974263538
15,binary_accuracy,val,1,0.59375,0.59375,0.5,0.6875,0.13258252147247765
16,binary_accuracy,val,2,0.6875,0.6875,0.6875,0.6875,0.0
17,binary_accuracy,val,3,0.703125,0.703125,0.6875,0.71875,0.02209708691207961
18,binary_accuracy,val,4,0.703125,0.703125,0.6875,0.71875,0.02209708691207961
19,binary_accuracy,val,5,0.515625,0.515625,0.28125,0.75,0.33145630368119416
20,loss,train,1,0.8192249536514282,0.8192249536514282,0.6879029870033264,0.95054692029953,0.18571730627125282
21,loss,train,2,0.6531199514865875,0.6531199514865875,0.6507694125175476,0.6554704904556274,0.003324164088902723
22,loss,train,3,0.6250442564487457,0.6250442564487457,0.6010103821754456,0.6490781307220459,0.033989030953670916
23,loss,train,4,0.5872551202774048,0.5872551202774048,0.5832268595695496,0.59128338098526,0.005696820925823503
24,loss,train,5,0.5125638842582703,0.5125638842582703,0.5055405497550964,0.5195872187614441,0.00993249490747133
25,loss,val,1,0.6611908376216888,0.6611908376216888,0.6377021670341492,0.6846795082092285,0.03321799650701262
26,loss,val,2,0.6242925226688385,0.6242925226688385,0.597520649433136,0.651064395904541,0.03786114622006377
27,loss,val,3,0.5983765125274658,0.5983765125274658,0.573551595211029,0.6232014298439026,0.03510773475369557
28,loss,val,4,0.6028393507003784,0.6028393507003784,0.5942108631134033,0.6114678382873535,0.012202524168268083
29,loss,val,5,0.682665079832077,0.682665079832077,0.5622842311859131,0.803045928478241,0.1702442288053879
