,metric,train/val,epoch,mean,median,min,max,std
0,binary_accuracy,train,1,0.5728273987770081,0.5599755048751831,0.5238677859306335,0.6474907994270325,0.052664777715419456
1,binary_accuracy,train,2,0.7585679292678833,0.7545899748802185,0.7294981479644775,0.7955936193466187,0.033030722678882685
2,binary_accuracy,val,1,0.75,0.7442396283149719,0.7050691246986389,0.8064516186714172,0.042962726579622856
3,binary_accuracy,val,2,0.7845622152090073,0.7764976918697357,0.7557603716850281,0.8294931054115295,0.03156486720591053
4,loss,train,1,0.6918186992406845,0.7046471536159515,0.6241896748542786,0.7337908148765564,0.04754789625479018
5,loss,train,2,0.5521249026060104,0.5558857023715973,0.5069053173065186,0.5898228883743286,0.035613343772155595
6,loss,val,1,0.6133359670639038,0.6091690361499786,0.5660912990570068,0.6689144968986511,0.04225466536029742
7,loss,val,2,0.48306290060281754,0.4711470603942871,0.44468966126441956,0.5452678203582764,0.043406107239460916
