,metric,train/val,epoch,mean,median,min,max,std
0,binary_accuracy,train,1,0.578131357828776,0.5630354881286621,0.5238677859306335,0.6474907994270325,0.06317892313093681
1,binary_accuracy,train,2,0.7523459792137146,0.7319461703300476,0.7294981479644775,0.7955936193466187,0.037473550487970346
2,binary_accuracy,val,1,0.7311827937761942,0.7327188849449158,0.7050691246986389,0.7557603716850281,0.025380510481819416
3,binary_accuracy,val,2,0.7941628297170004,0.7788018584251404,0.774193525314331,0.8294931054115295,0.03068355372188214
4,loss,train,1,0.6901021202405294,0.7123258709907532,0.6241896748542786,0.7337908148765564,0.05808204366757246
5,loss,train,2,0.5550259153048197,0.5683495402336121,0.5069053173065186,0.5898228883743286,0.043034522582209314
6,loss,val,1,0.6145405570665995,0.6086158752441406,0.5660912990570068,0.6689144968986511,0.051667000054372345
7,loss,val,2,0.4882444938023885,0.4747759997844696,0.44468966126441956,0.5452678203582764,0.0516240425578076
