,metric,train/val,run,epoch,value
0,loss,train,1,1,0.6101810932159424
1,loss,train,1,2,0.4097644090652466
2,binary_accuracy,train,1,1,0.6750305891036987
3,binary_accuracy,train,1,2,0.813341498374939
4,loss,val,1,1,0.4534185826778412
5,loss,val,1,2,0.39381474256515503
6,binary_accuracy,val,1,1,0.7972350120544434
7,binary_accuracy,val,1,2,0.8156682252883911
8,loss,train,2,1,0.6287422776222229
9,loss,train,2,2,0.4244920313358307
10,binary_accuracy,train,2,1,0.6425948739051819
11,binary_accuracy,train,2,2,0.8108935356140137
12,loss,val,2,1,0.4455247223377228
13,loss,val,2,2,0.4345243573188782
14,binary_accuracy,val,2,1,0.7972350120544434
15,binary_accuracy,val,2,2,0.8133640289306641
