,metric,train/val,epoch,mean,median,min,max,std
0,auc,train,0,0.8374843,0.8374843,0.8334237,0.8415449,0.005742592403306334
1,auc,train,1,0.85609084,0.85609084,0.8552566,0.8569251,0.0011797745835169457
2,auc,train,2,0.85913,0.85913,0.8497632,0.86849684,0.013246670193276973
3,auc,val,0,0.52751815,0.52751815,0.519494,0.53554237,0.011347912521012686
4,auc,val,1,0.7855895,0.7855895,0.77636176,0.79481727,0.013050012998125141
5,auc,val,2,0.6289059,0.6289059,0.623997,0.63381475,0.00694221815247191
6,binary_accuracy,train,0,0.8183712,0.8183712,0.81151515,0.82522714,0.009695840353082661
7,binary_accuracy,train,1,0.8264772,0.8264772,0.82522726,0.8277272,0.0017677231202439174
8,binary_accuracy,train,2,0.81763256,0.81763256,0.8156439,0.8196212,0.002812374907434937
9,binary_accuracy,val,0,0.4874183,0.4874183,0.48514557,0.48969105,0.0032141397408650342
10,binary_accuracy,val,1,0.50672907,0.50672907,0.49839574,0.5150624,0.011785101780616189
11,binary_accuracy,val,2,0.4851307,0.4851307,0.47938204,0.49087936,0.008129832049811882
12,loss,train,0,0.5313038,0.5313038,0.52999145,0.5326162,0.0018559786210257296
13,loss,train,1,0.4741451,0.4741451,0.47246367,0.47582653,0.002377904119560386
14,loss,train,2,0.45848384,0.45848384,0.44059658,0.4763711,0.025296412035693064
15,loss,val,0,0.6939993,0.6939993,0.69370234,0.69429624,0.00041995119856254814
16,loss,val,1,0.68027353,0.68027353,0.675884,0.6846631,0.006207767170321071
17,loss,val,2,0.69405055,0.69405055,0.69252783,0.6955732,0.002153408930967109
